cluster,incident_type,lat,lng
2,TRAFFIC STOP,38.9526,-92.3308
2,DISTURBANCE,38.95248,-92.33047
2,LAW ALARM,38.944507,-92.320735
2,DISTURBANCE,38.9546,-92.3355
2,DISTURBANCE,38.95184,-92.32912
2,TRAFFIC STOP,38.95095,-92.32395
2,SPECIAL ASSIGNMENT,38.9525,-92.3305
2,STALLED VEHICLE,38.9516,-92.3291
2,PARKING VIOLATION,38.95063,-92.32711
2,ASSIST FIRE,38.9504,-92.33325
2,TRAFFIC STOP,38.9429,-92.3069
2,SUSPICIOUS INCIDENT,38.96431,-92.33437
2,UNKNOWN PROBLEM,38.964,-92.3247
2,ASSIST MEDICS,38.9505,-92.3276
2,TRAFFIC STOP,38.9557,-92.3301
2,ACCIDENT,38.95019,-92.326
2,TRESPASS SUBJECT,38.9596,-92.33842
2,TRAFFIC STOP,38.9585,-92.3424
2,911 CHECKS,38.95448,-92.3369
2,CHECK SUBJECT,38.9645,-92.3427
2,STALLED VEHICLE,38.94085,-92.33328
2,911 CHECKS,38.959428,-92.343049
2,911 CHECKS,38.95808,-92.33095
2,CHECK SUBJECT,38.96458,-92.34274
2,CHECK SUBJECT,38.96015,-92.32786
2,TRAFFIC STOP,38.9516,-92.3319
2,TRAFFIC STOP,38.9546,-92.3437
2,CHECK SUBJECT,38.9517,-92.333
2,KEEP THE PEACE,38.9602,-92.32905
2,ACCIDENT,38.95014,-92.33223
2,FOOT PATROL,38.95633,-92.33356
2,TRAFFIC STOP,38.9525,-92.3251
2,SUSPICIOUS PERSON,38.962276,-92.333958
2,911 CHECKS,38.93411,-92.32524
2,ASSIST FIRE,38.96612,-92.32394
2,FOOT PATROL,38.9504,-92.33325
2,MISSING PERSON,38.95889,-92.32849
2,VANDALISM,38.95619,-92.34082
2,DISTURBANCE,38.95416,-92.34545
2,911 CHECKS,38.9546,-92.3334
2,CHECK SUBJECT,38.95852,-92.33075
2,LARCENY MV,38.94961,-92.31283
2,TRAFFIC STOP,38.9608,-92.3144
2,911 CHECKS,38.95406,-92.33587
2,CHECK SUBJECT,38.95406,-92.33587
2,SUSPICIOUS PERSON,38.95988,-92.33446
2,FOOT PATROL,38.9504,-92.33325
2,PARKING VIOLATION,38.953543,-92.335732
2,PUBLIC RELATIONS,38.95329,-92.32785
2,TRAFFIC STOP,38.9622,-92.3248
2,DISTURBANCE,38.9485,-92.3276
2,ASSIST FIRE,38.96668,-92.33325
2,LAW ALARM,38.96668,-92.33325
2,ASSIST OFFICER,38.95248,-92.33047
2,DISTURBANCE,38.95841,-92.34357
2,TRESPASSING,38.96512,-92.33493
2,LOCKOUT,38.95721,-92.33621
2,TRESPASS SUBJECT,38.95166,-92.32582
2,911 CHECKS,38.96387,-92.32621
2,ASSIST MEDICS,38.95166,-92.32582
2,DISTURBANCE,38.9515,-92.3276
2,CHECK SUBJECT,38.9596,-92.3359
2,TRAFFIC STOP,38.95705,-92.32109
2,FOOT PATROL,38.9515,-92.3248
2,TRAFFIC STOP,38.9651,-92.3247
2,SUSPICIOUS VEHICLE,38.949,-92.3276
2,TRAFFIC STOP,38.96612,-92.32394
2,CHECK SUBJECT,38.9537,-92.3341
2,911 CHECKS,38.95248,-92.33047
2,ASSIST FIRE,38.94965,-92.32589
2,911 CHECKS,38.94965,-92.32589
2,DISTURBANCE,38.9543,-92.32819
2,TRAFFIC,38.9397,-92.3339
2,PARKING VIOLATION,38.9515,-92.3265
2,TRAFFIC STOP,38.9389,-92.322
2,CHECK OPEN BUSINESS,38.95166,-92.32505
2,911 CHECKS,38.93973,-92.33492
2,CHECK SUBJECT,38.9496,-92.333
2,LARCENY,38.94759,-92.31048
2,SUSPICIOUS PERSON,38.94927,-92.32633
2,ACCIDENT,38.9494,-92.3105
2,STALLED VEHICLE,38.9523,-92.3121
2,TRAFFIC STOP,38.9557,-92.3318
2,SPECIAL ASSIGNMENT,38.9525,-92.3305
2,TRAFFIC STOP,38.95516,-92.33355
2,PEACE DISTURBANCE,38.9515,-92.3265
2,ASSAULT,38.9602,-92.32905
2,AUTO THEFT,38.96514,-92.33428
2,SPECIAL ASSIGNMENT,38.9525,-92.3305
2,C&I DRIVING,38.9379,-92.3343
2,TRAFFIC STOP,38.94932,-92.32436
